Model,Name,Functionality,Compatibility
Heart,CyberHeartZ10,Advanced circulation,Type A
Heart,CyberHeartZ11,Advanced circulation,Type B
Heart,CyberHeartZ3,Advanced circulation,Type B
Heart,CyberHeartZ4,Advanced circulation,Type AB
Heart,CyberHeartZ5,Advanced circulation,Type O
Heart,CyberHeartZ6,Advanced circulation,Type A
Heart,CyberHeartZ7,Advanced circulation,Type O
Heart,CyberHeartZ8,Advanced circulation,Type B
Heart,CyberHeartZ9,Advanced circulation,Type O
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Kidney,CyberKidneyX4,Regulates electrolytes,Type AB
Kidney,CyberKidneyY5,Toxin filtration,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Kidney,CyberKidneyY5,Toxin filtration,Type O
Kidney,CyberKidneyZ1,Advanced filtration,Type O
Kidney,CyberKidneyZ2,Advanced filtration,Type B
Kidney,CyberKidneyZ3,Advanced filtration,Type A
Kidney,CyberKidneyZ4,Advanced filtration,Type B
Kidney,CyberKidneyZ5,Advanced filtration,Type A
Kidney,CyberKidneyZ6,Advanced filtration,Type B
Kidney,CyberKidneyZ7,Advanced filtration,Type O
Kidney,CyberKidneyZ8,Advanced filtration,Type B
Kidney,CyberKidneyZ9,Advanced filtration,Type A
Leg,CyberLegM6,Speed enhancement,Type O
Leg,CyberLegM6,Speed enhancement,Type O
Leg,CyberLegM6,Speed enhancement,Type O
Leg,CyberLegM6,Speed enhancement,Type O
Leg,CyberLegX9,Enhanced mobility,Type B
Leg,CyberLegX9,Enhanced mobility,Type B
Leg,CyberLegX9,Enhanced mobility,Type B
Leg,CyberLegX9,Enhanced mobility,Type B
Leg,CyberLegZ10,Jump enhancement,Type O
Leg,CyberLegZ11,Jump enhancement,Type B
Leg,CyberLegZ12,Jump enhancement,Type A
Leg,CyberLegZ13,Jump enhancement,Type O
Leg,CyberLegZ14,Jump enhancement,Type O
Leg,CyberLegZ15,Jump enhancement,Type B
Leg,CyberLegZ7,Jump enhancement,Type A
Leg,CyberLegZ8,Jump enhancement,Type B
Leg,CyberLegZ9,Jump enhancement,Type O
Liver,CyberLiverA5,Detoxifies blood,Type O
Liver,CyberLiverA5,Detoxifies blood,Type O
Liver,CyberLiverA5,Detoxifies blood,Type O
Liver,CyberLiverA5,Detoxifies blood,Type O
Liver,CyberLiverQ4,Regulates enzymes,Type B
Liver,CyberLiverQ4,Regulates enzymes,Type B
Liver,CyberLiverQ4,Regulates enzymes,Type B
Liver,CyberLiverQ4,Regulates enzymes,Type B
Liver,CyberLiverX10,Enhanced metabolism,Type A
Liver,CyberLiverX11,Enhanced metabolism,Type B
Liver,CyberLiverX12,Enhanced metabolism,Type O
Liver,CyberLiverX13,Enhanced metabolism,Type B
Liver,CyberLiverX14,Enhanced metabolism,Type A
Liver,CyberLiverX15,Enhanced metabolism,Type O
Liver,CyberLiverX7,Enhanced metabolism,Type AB
Liver,CyberLiverX8,Enhanced metabolism,Type A
Liver,CyberLiverX9,Enhanced metabolism,Type O
Lung,CyberLungV8,Increased oxygen intake,Type AB
Lung,CyberLungV8,Increased oxygen intake,Type AB
Lung,CyberLungV8,Increased oxygen intake,Type AB
Lung,CyberLungV8,Increased oxygen intake,Type AB
Lung,CyberLungY10,Pollution filtration,Type O
Lung,CyberLungY11,Pollution filtration,Type B
Lung,CyberLungY12,Pollution filtration,Type A
Lung,CyberLungY13,Pollution filtration,Type B
Lung,CyberLungY5,Pollution filtration,Type A
Lung,CyberLungY6,Pollution filtration,Type B
Lung,CyberLungY7,Pollution filtration,Type O
Lung,CyberLungY8,Pollution filtration,Type B
Lung,CyberLungY9,Pollution filtration,Type A
Lung,CyberLungZ3,Filters air,Type B
Lung,CyberLungZ3,Filters air,Type B
Lung,CyberLungZ3,Filters air,Type B
Skin,CyberSkinD2,Temperature regulation,Universal
Skin,CyberSkinD2,Temperature regulation,Universal
Skin,CyberSkinD2,Temperature regulation,Universal
Skin,CyberSkinD2,Temperature regulation,Universal
Skin,CyberSkinF4,Shock absorption,Type B
Skin,CyberSkinF4,Shock absorption,Type B
Skin,CyberSkinF4,Shock absorption,Type B
Skin,CyberSkinF4,Shock absorption,Type B
Skin,CyberSkinX1,Waterproof,Universal
Skin,CyberSkinX2,Waterproof,Type A
Skin,CyberSkinX3,Waterproof,Type B
Skin,CyberSkinX4,Waterproof,Type O
Skin,CyberSkinX5,Waterproof,Type B
Skin,CyberSkinX6,Waterproof,Type A
Skin,CyberSkinX7,Waterproof,Type O
Skin,CyberSkinX8,Waterproof,Type B
Skin,CyberSkinX9,Waterproof,Type A
